ID	Área o tema	Ítem a auditar	Criterio de cumplimiento	Evidencia o respaldo esperado	Frecuencia de revisión	Estado de cumplimiento	Observaciones	Fuente / sección del documento	Referencia normativa	Etapa	Responsable sugerido
PMA-013	Localización	Exclusión de sitios arqueológicos o históricos	Faena no afecta sitios de interés arqueológico o histórico	Informe de Inspección Visual Arqueológica (Javier Carranza, Mayo 2026)	Al inicio de operación		—	§2 Criterios de localización; §4 Línea de base — Arqueología	No especificado en el PMA	Operación	Encargado ambiental
PMA-014	Localización	Exclusión de terrenos con procesos erosivos, inestabilidad geotécnica o riesgos de inundación	Emplazamiento en terreno plano y consolidado; sin afectación de mallines o vegas	Informe geotécnico o inspección de terreno; registro del enrocado de protección fluvial	Al inicio de operación		—	§2 Criterios de localización	No especificado en el PMA	Operación	Encargado ambiental
PMA-015	Localización	Enrocado de protección fluvial en ribera del Río Ventisquero	Existencia y estado del enrocado de protección fluvial de 270 m en ribera del Río Ventisquero	Inspección visual; registro fotográfico; plano de ubicación	Trimestral		—	§2 Criterios de localización	No especificado en el PMA	Operación	Encargado ambiental
PMA-016	Localización	Distancia mínima de 1.000 m respecto de poblados, caseríos, aldeas o villorrios	Lejanía de al menos 1.000 m respecto de asentamientos humanos, salvo justificación fundada	Levantamiento topográfico o medición de distancias; registro de justificación técnica	Al inicio de operación		Emplazamiento a menor distancia de caseríos dispersos; se aplican medidas de mitigación reforzadas de ruidos y polvo	§2 Criterios de localización	No especificado en el PMA	Operación	Encargado ambiental
PMA-017	Localización	Medidas de mitigación reforzadas por proximidad a caseríos	Implementación de medidas de mitigación de ruidos y polvo reforzadas por emplazamiento cercano a caseríos	Registro de inspecciones; evidencia de medidas §7.1 y §7.5	Mensual		Requiere revisión: el PMA no detalla medidas específicas adicionales más allá de las generales	§2 Criterios de localización	No especificado en el PMA	Operación	Encargado ambiental
PMA-018	Localización	Identificación y ubicación oficial de la instalación de faenas	Faena identificada como Instalación de Faenas “Río Ventisquero”, Ruta 7 Norte Km 405,640 (lado derecho)	Plano de ubicación; señalética de acceso	Al inicio de operación		—	§3.1.2 Identificación de la instalación de faenas	No especificado en el PMA	Operación	Ingeniero residente
PMA-019	Localización	Delimitación del polígono de faena (1,6 ha)	Superficie afecta de 1,6 hectáreas (16.000 m²) delimitada y respetada en operación	Plano con polígono; inspección de límites físicos (cercos, señalización)	Mensual		—	§3.1.2 Identificación de la instalación de faenas	No especificado en el PMA	Operación	Encargado ambiental
PMA-020	Localización	Georreferenciación del polígono (8 vértices, WGS 84, Huso 18S)	Coordenadas UTM de 8 vértices (V1–V8) registradas y coherentes con emplazamiento real	Tabla de coordenadas del PMA; levantamiento GPS o plano georreferenciado	Al inicio de operación		—	§3.2 Georreferenciación del polígono	No especificado en el PMA	Operación	Topógrafo / Encargado ambiental
PMA-021	Localización	Faja de protección respecto del Río Ventisquero	Mantenimiento de la faja de protección correspondiente ante colindancia directa con el río	Inspección visual de borde fluvial; registro fotográfico	Mensual		Requiere revisión: ancho y especificaciones de la faja no detallados en el PMA	§3.2 Georreferenciación del polígono (nota)	No especificado en el PMA	Operación	Encargado ambiental
PMA-022	Resoluciones sanitarias y sectoriales	Resolución de Control de Plagas (Res. N° 185 Seremi de Salud)	Resolución N° 185 vigente y aplicable a la faena	Copia de Resolución N° 185; verificación de vigencia	Semestral		—	§3.3 Resoluciones sanitarias y sectoriales vigentes	No especificado en el PMA	Operación	Encargado ambiental
PMA-023	Resoluciones sanitarias y sectoriales	Resolución de Limpieza de Baños Químicos y Fosas Sépticas (Res. N° 548)	Resolución N° 548 vigente; habilita retiro y limpieza de efluentes sanitarios	Copia de Resolución N° 548; contrato o servicio con empresa autorizada	Semestral		—	§3.3 Resoluciones sanitarias y sectoriales vigentes	No especificado en el PMA	Operación	Encargado ambiental
PMA-024	Resoluciones sanitarias y sectoriales	Resolución de Agua Envasada para Consumo Humano (Res. Exenta N° 2111426562)	Agua embotellada provista por proveedores autorizados bajo Res. Exenta N° 2111426562	Copia de resolución; facturas o guías de proveedor con resolución sanitaria	Mensual		—	§3.3 Resoluciones sanitarias y sectoriales vigentes	No especificado en el PMA	Operación	Encargado ambiental
PMA-025	Resoluciones sanitarias y sectoriales	Resolución de Proyecto de Agua Potable y Alcantarillado Particular (Res. N° 165)	Sistema sanitario interno autorizado bajo Res. N° 165 para fase de operación	Copia de Resolución N° 165; planos o memoria del sistema	Semestral		—	§3.3 Resoluciones sanitarias y sectoriales vigentes	No especificado en el PMA	Operación	Encargado ambiental
PMA-026	Resoluciones sanitarias y sectoriales	Resolución de Pernoctación del Densímetro Nuclear (Res. N° 2411534157)	Prohibido almacenamiento permanente de equipos radiactivos en faena; densímetro trasladado diurnamente y retornado por la tarde a búnker en La Junta	Registro diario de traslado; Res. N° 2411534157; bitácora de uso del densímetro	Diario		—	§3.3 Resoluciones sanitarias y sectoriales vigentes	No especificado en el PMA	Operación	Laboratorio de control de calidad
PMA-027	Resoluciones sanitarias y sectoriales	Declaración de Instalación Eléctrica SEC (TE1, Folio N° 000003586553)	Instalación eléctrica declarada ante SEC con potencia de 9 kW para abastecimiento interno	Copia TE1 Folio SEC N° 000003586553; inspección de instalación eléctrica	Anual		—	§3.3 Resoluciones sanitarias y sectoriales vigentes	No especificado en el PMA	Operación	Encargado de faena
PMA-028	Resoluciones sanitarias y sectoriales	Declaración de Camión Tanque Móvil SEC (TC10A, Folio N° 000002624500)	Camión tanque patente HKDL92, capacidad 8.000 L diésel, declarado ante SEC	Copia TC10A Folio SEC N° 000002624500; inspección del vehículo	Semestral		—	§3.3 Resoluciones sanitarias y sectoriales vigentes	No especificado en el PMA	Operación	Encargado de combustible
PMA-029	Infraestructura	Oficinas administrativas para constructora e Inspección Fiscal	Oficinas administrativas operativas para constructora e Inspección Fiscal	Inspección visual; registro fotográfico	Al inicio de operación		—	§5.1 Infraestructura y distribución interna	No especificado en el PMA	Operación	Ingeniero residente
PMA-030	Infraestructura	Sala de reuniones y casino/comedor	Sala de reuniones y casino/comedor habilitados con agua embotellada, microondas, mesas de material lavable y calefacción	Inspección visual de equipamiento; registro de abastecimiento de agua embotellada	Mensual		—	§5.1 Infraestructura y distribución interna	No especificado en el PMA	Operación	Encargado de faena
PMA-031	Infraestructura	Laboratorio de control de calidad de hormigones y áridos	Laboratorio operativo para control de calidad de hormigones y áridos	Inspección visual; registro de actividades de laboratorio	Mensual		—	§5.1 Infraestructura y distribución interna	No especificado en el PMA	Operación	Jefe de laboratorio
PMA-032	Infraestructura	Servicios higiénicos diferenciados por género	Servicios higiénicos diferenciados por género para personal del contratista y la Inspección Fiscal	Inspección visual; verificación de señalización y separación por género	Mensual		—	§5.1 Infraestructura y distribución interna	D.S. N° 594/00	Operación	Encargado de faena
PMA-033	Infraestructura	Taller mecánico cerrado	Taller mecánico cerrado habilitado para mantenciones menores y lubricación	Inspección visual; verificación de cierre perimetral	Mensual		—	§5.1 Infraestructura y distribución interna	No especificado en el PMA	Operación	Jefe de taller
PMA-034	Infraestructura	Bodega de almacenamiento de sustancias peligrosas (RESPEL)	Bodega RESPEL habilitada para almacenamiento temporal de residuos peligrosos	Inspección visual de bodega; inventario de RESPEL	Mensual		—	§5.1 Infraestructura y distribución interna	No especificado en el PMA	Operación	Encargado ambiental
PMA-035	Infraestructura	Bodega de insumos	Bodega de insumos operativa y segregada de bodega RESPEL	Inspección visual; registro de inventario	Mensual		—	§5.1 Infraestructura y distribución interna	No especificado en el PMA	Operación	Bodeguero
PMA-036	Infraestructura	Área de almacenamiento y carguío de combustible diésel	Área de almacenamiento y carguío de combustible diésel habilitada y operativa	Inspección visual; declaración SEC TC10A; registro de abastecimiento	Semanal		—	§5.1 Infraestructura y distribución interna	No especificado en el PMA	Operación	Encargado de combustible
PMA-037	Infraestructura	Prohibición de campamentos y pernoctación de trabajadores	No habilitación de campamentos ni pernoctación de trabajadores en el recinto	Inspección nocturna o vespertina; registro de personal alojado en Puyuhuapi	Mensual		—	§5.1 Infraestructura y distribución interna	No especificado en el PMA	Operación	Ingeniero residente
PMA-038	Infraestructura	Alojamiento del personal en residenciales autorizadas en Puyuhuapi	Personal de obra hospedado en residenciales autorizadas en la localidad de Puyuhuapi	Contratos o convenios de alojamiento; listado de residenciales	Mensual		Requiere revisión: residenciales autorizadas no identificadas nominalmente en el PMA	§5.1 Infraestructura y distribución interna	No especificado en el PMA	Operación	Administrador de obra
PMA-039	Infraestructura	Construcciones modulares prefabricadas desmontables sobre radieres mínimos de hormigón	Infraestructura conforme a diseño de baja densidad con módulos prefabricados desmontables sobre radieres mínimos	Inspección visual; plano de distribución interna	Al inicio de operación		—	§5.1 Infraestructura y distribución interna	No especificado en el PMA	Operación	Ingeniero residente
PMA-040	Horarios de trabajo	Jornada laboral de lunes a jueves (8:00–18:00 hrs)	Actividades de faena restringidas a horario 8:00–18:00 hrs de lunes a jueves	Registro de asistencia; bitácora de faena; inspección in situ	Semanal		—	§5.2 Horarios de trabajo	Ley N° 21.561 de 40 Horas	Operación	Ingeniero residente
PMA-041	Horarios de trabajo	Jornada laboral de viernes (8:00–17:00 hrs)	Actividades de faena restringidas a horario 8:00–17:00 hrs los viernes (42 horas semanales)	Registro de asistencia; bitácora de faena	Semanal		—	§5.2 Horarios de trabajo	Ley N° 21.561 de 40 Horas	Operación	Ingeniero residente
PMA-042	Horarios de trabajo	Prohibición de turnos nocturnos permanentes	Sin turnos nocturnos permanentes; solo operaciones puntuales autorizadas por la Inspección Fiscal	Bitácora de faena; autorizaciones escritas del IF cuando corresponda	Semanal		Requiere revisión: criterios para autorización de operaciones puntuales no detallados	§5.2 Horarios de trabajo	No especificado en el PMA	Operación	Inspector fiscal
PMA-043	Servicios básicos	Abastecimiento de agua potable mediante agua embotellada y purificada	Suministro garantizado de agua embotellada y purificada de proveedores con Resolución Sanitaria (Res. N° 2111426562)	Facturas; resolución sanitaria del proveedor; inspección de dotación	Mensual		—	§5.3 Abastecimiento de insumos y servicios básicos	Res. Exenta N° 2111426562	Operación	Encargado de faena
PMA-044	Servicios básicos	Toma de muestras periódicas de la red interna de agua potable	Tomas de muestra periódicas de la red interna con análisis microbiológico en HIDROlab Coyhaique	Informes microbiológicos HIDROlab; registro de fechas de muestreo	Mensual / Semestral		Requiere revisión: frecuencia exacta de muestreo de red interna no precisada en §5.3 (§8 indica mensual/semestral)	§5.3 Abastecimiento de insumos y servicios básicos	No especificado en el PMA	Operación	Encargado ambiental
PMA-045	Servicios básicos	Uso de baños químicos para manejo sanitario	Baños químicos operativos como parte del manejo sanitario de la faena	Inspección visual; registro de servicio y limpieza	Semanal		—	§5.3 Abastecimiento de insumos y servicios básicos	Res. N° 548	Operación	Encargado de faena
PMA-046	Servicios básicos	Sistema de alcantarillado particular con fosa séptica hermética	Fosa séptica hermética autorizada bajo Res. N° 165 operativa e impermeabilizada	Inspección visual; Res. N° 165; registro de mantención	Mensual		—	§5.3 Abastecimiento de insumos y servicios básicos	Res. N° 165	Operación	Encargado de faena
PMA-047	Servicios básicos	Limpieza semanal de baños químicos y extracción de lodos	Limpiezas sanitarias y extracción de lodos ejecutadas semanalmente por Patagonia Service E.I.R.L. (Res. N° 548)	Certificados de servicio Patagonia Service; guías de transporte; Res. N° 548	Semanal		—	§5.3 Abastecimiento de insumos y servicios básicos	Res. N° 548	Operación	Encargado ambiental
PMA-048	Servicios básicos	Disposición de efluente sanitario en plantas de tratamiento autorizadas	Efluente final de fosas sépticas dispuesto en plantas de tratamiento autorizadas	Certificados de disposición; guías de transporte	Semanal		Requiere revisión: plantas de tratamiento destino no identificadas nominalmente	§5.3 Abastecimiento de insumos y servicios básicos	Res. N° 548	Operación	Encargado ambiental
PMA-049	Servicios básicos	Generación eléctrica mediante grupo generador diésel de 40 kVA	Grupo generador diésel de 40 kVA operativo para abastecimiento eléctrico interno	Bitácora de operación del generador; registro de mantención	Mensual		—	§5.3 Abastecimiento de insumos y servicios básicos	No especificado en el PMA	Operación	Encargado de faena
PMA-050	Servicios básicos	Integración eléctrica a red TE1 aprobada por SEC	Generación integrada a red TE1 aprobada por SEC (Folio N° 000003586553, 9 kW)	Copia TE1; inspección de conexión eléctrica	Anual		Requiere revisión: coherencia entre potencia declarada TE1 (9 kW) y generador (40 kVA) no aclarada en el PMA	§5.3 Abastecimiento de insumos y servicios básicos	Declaración SEC TE1	Operación	Encargado de faena
PMA-051	Residuos sólidos domiciliarios	Segregación en origen de residuos sólidos domiciliarios y asimilables	Residuos segregados en origen en contenedores diferenciados y herméticos	Inspección visual de contenedores; registro de segregación	Semanal		—	§5.4.1 Residuos sólidos domiciliarios y asimilables	No especificado en el PMA	Operación	Encargado de faena
PMA-052	Residuos sólidos domiciliarios	Contenedores herméticos para prevenir proliferación de vectores	Contenedores herméticos que eviten proliferación de roedores y moscas e impidan atraer fauna local	Inspección visual; registro de limpieza y estado de contenedores	Semanal		—	§5.4.1 Residuos sólidos domiciliarios y asimilables	No especificado en el PMA	Operación	Encargado de faena
PMA-053	Residuos sólidos domiciliarios	Transporte semanal de residuos domiciliarios al vertedero municipal	Residuos transportados semanalmente al Vertedero Municipal autorizado de La Junta	Guías de transporte; registro de frecuencia semanal; comprobante de recepción en vertedero	Semanal		—	§5.4.1 Residuos sólidos domiciliarios y asimilables	No especificado en el PMA	Operación	Encargado de faena
PMA-054	Residuos de construcción y demolición (RCD)	Registro mensual de excedentes inertes en Planilla de Declaración de RCD	Excedentes inertes y materiales de escarpe registrados mensualmente en Planilla de Declaración de RCD	Planilla de Declaración de RCD firmada; registro mensual	Mensual		—	§5.4.2 Residuos de construcción y demolición (RCD)	Manual de Carreteras Volumen 5, sección 5.904	Operación	Encargado ambiental
PMA-055	Residuos de construcción y demolición (RCD)	Disposición de RCD en botaderos formalmente autorizados por el Inspector Fiscal	RCD dispuestos en botaderos formalmente autorizados por el Inspector Fiscal de acuerdo a Sección 5.904 del MC-V5	Autorización escrita del IF; guías de transporte; comprobantes de disposición	Mensual		Requiere revisión: botaderos autorizados no identificados nominalmente	§5.4.2 Residuos de construcción y demolición (RCD)	Manual de Carreteras Volumen 5, sección 5.904	Operación	Encargado ambiental
PMA-056	Residuos peligrosos (RESPEL)	Gestión de aceites lubricantes usados en taller	Residuos peligrosos (aceites lubricantes usados) generados en taller acopiados y gestionados conforme a RESPEL	Inventario RESPEL; guías de despacho; registro de retiro	Mensual		—	§5.4.3 Residuos peligrosos (RESPEL) e hidrocarburos	No especificado en el PMA	Operación	Jefe de taller
PMA-057	Residuos peligrosos (RESPEL)	Gestión de filtros de aceite y combustibles usados	Filtros de aceite y combustibles usados acopiados y gestionados como RESPEL	Inventario RESPEL; guías de despacho	Mensual		—	§5.4.3 Residuos peligrosos (RESPEL) e hidrocarburos	No especificado en el PMA	Operación	Jefe de taller
PMA-058	Residuos peligrosos (RESPEL)	Gestión de aserrín y huaipe contaminado	Aserrín y huaipe contaminado acopiados y gestionados como RESPEL	Inventario RESPEL; guías de despacho	Mensual		—	§5.4.3 Residuos peligrosos (RESPEL) e hidrocarburos	No especificado en el PMA	Operación	Jefe de taller
PMA-059	Residuos peligrosos (RESPEL)	Gestión de baterías en desuso	Baterías en desuso acopiadas y gestionadas como RESPEL	Inventario RESPEL; guías de despacho	Mensual		—	§5.4.3 Residuos peligrosos (RESPEL) e hidrocarburos	No especificado en el PMA	Operación	Jefe de taller
PMA-060	Residuos peligrosos (RESPEL)	Bodega RESPEL con radier impermeable	Radier impermeable en bodega RESPEL	Inspección visual; registro en Lista de Chequeo Mensual (Anexo N° 8)	Mensual		—	§5.4.3 Residuos peligrosos (RESPEL) e hidrocarburos	No especificado en el PMA	Operación	Encargado ambiental
PMA-061	Residuos peligrosos (RESPEL)	Bodega RESPEL con pretil perimetral de contención de derrames	Pretil perimetral de contención de derrames operativo en bodega RESPEL	Inspección visual	Mensual		—	§5.4.3 Residuos peligrosos (RESPEL) e hidrocarburos	No especificado en el PMA	Operación	Encargado ambiental
PMA-062	Residuos peligrosos (RESPEL)	Bodega RESPEL con techo, cierre perimetral seguro y extintor exterior	Bodega RESPEL con techo, cierre perimetral seguro y extintor exterior operativo	Inspección visual; registro de extintor vigente	Mensual		—	§5.4.3 Residuos peligrosos (RESPEL) e hidrocarburos	No especificado en el PMA	Operación	Encargado de faena
PMA-063	Residuos peligrosos (RESPEL)	Señalética de seguridad en bodega RESPEL conforme NCh 2.190	Señalética de seguridad instalada en bodega RESPEL conforme norma NCh 2.190	Inspección visual de señalética	Mensual		—	§5.4.3 Residuos peligrosos (RESPEL) e hidrocarburos	NCh 2.190	Operación	Encargado ambiental
PMA-064	Residuos peligrosos (RESPEL)	Límite de almacenamiento temporal de RESPEL (máximo 6 meses)	Almacenamiento temporal de RESPEL no supera 6 meses en ningún caso	Registro de fechas de ingreso y retiro; inventario RESPEL	Mensual		—	§5.4.3 Residuos peligrosos (RESPEL) e hidrocarburos	No especificado en el PMA	Operación	Encargado ambiental
PMA-065	Residuos peligrosos (RESPEL)	Transporte de RESPEL a destinatarios finales autorizados del RETC	RESPEL transportado y dispuesto en destinatarios finales autorizados del RETC	Guías de despacho; certificados de recepción en destinatario final; registro RETC	Trimestral		Requiere revisión: destinatarios finales no identificados nominalmente	§5.4.3 Residuos peligrosos (RESPEL) e hidrocarburos	RETC	Operación	Encargado ambiental
PMA-066	Residuos peligrosos (RESPEL)	Transporte de RESPEL mediante transportistas con resolución sanitaria vigente	Transporte ejecutado por transportistas con resolución sanitaria vigente	Resoluciones sanitarias de transportistas; guías de despacho	Trimestral		—	§5.4.3 Residuos peligrosos (RESPEL) e hidrocarburos	No especificado en el PMA	Operación	Encargado ambiental
PMA-067	Medidas ambientales §7.1 — Control de emisiones atmosféricas	Humectación periódica del acceso no pavimentado a la faena	Acceso no pavimentado humectado periódicamente mediante camión aljibe durante períodos de sequía estival	Registro de humectación; bitácora de operación del camión aljibe	Diario (períodos de sequía)		—	§7.1 Control de emisiones atmosféricas (Aire)	No especificado en el PMA	Operación	Encargado ambiental
PMA-068	Medidas ambientales §7.1 — Control de emisiones atmosféricas	Mantención periódica e inspección de gases de flota vehicular	Flota de vehículos, camionetas y camiones con mantención periódica e inspección de gases al día	Certificados de revisión técnica; bitácoras de mantención de motores	Trimestral		—	§7.1 Control de emisiones atmosféricas (Aire)	No especificado en el PMA	Operación	Jefe de flota
PMA-069	Medidas ambientales §7.1 — Control de emisiones atmosféricas	Mantención periódica e inspección de gases del grupo generador diésel	Grupo generador diésel con mantención periódica e inspección de gases al día	Bitácoras de mantención; certificados de revisión técnica si aplica	Trimestral		Requiere revisión: aplicabilidad de revisión técnica a grupo generador estacionario no aclarada	§7.1 Control de emisiones atmosféricas (Aire)	No especificado en el PMA	Operación	Encargado de faena
PMA-070	Medidas ambientales §7.1 — Control de emisiones atmosféricas	Cobertura de tolvas en transporte de material fino o pétreo	Camiones con material fino o pétreo circulan con tolva cubierta con mallas o lonas protectoras	Inspección visual en accesos y Ruta 7	Diario		—	§7.1 Control de emisiones atmosféricas (Aire)	No especificado en el PMA	Operación	Jefe de flota
PMA-071	Medidas ambientales §7.2 — Protección del suelo	Carpetas de geotextil de alta densidad e impermeables en taller	Geotextil de alta densidad e impermeable instalado en zona de mantención mecánica y reparación	Inspección visual; registro en Lista de Chequeo Mensual (Anexo N° 8)	Mensual		—	§7.2 Protección del suelo y prevención de derrames	No especificado en el PMA	Operación	Jefe de taller
PMA-072	Medidas ambientales §7.2 — Protección del suelo	Kits antiderrames operativos en terreno	Kits antiderrames operativos permanentes con palas, aserrín, arena, paños absorbentes e instructivos	Inspección visual de kits; verificación de contenido y accesibilidad	Mensual		—	§7.2 Protección del suelo y prevención de derrames	No especificado en el PMA	Operación	Encargado ambiental
PMA-073	Medidas ambientales §7.2 — Protección del suelo	Capacitación en trasvasije seguro de diésel y lubricantes	Inducción obligatoria a operadores y choferes respecto al trasvasije seguro de diésel y lubricantes	Registros de capacitación; listas de asistencia; material de inducción	Semestral		Requiere revisión: periodicidad de la inducción no especificada en el PMA	§7.2 Protección del suelo y prevención de derrames	No especificado en el PMA	Operación	Encargado ambiental
PMA-074	Medidas ambientales §7.2 — Protección del suelo	Lectura de Hojas de Seguridad (HDS) por operadores y choferes	Operadores y choferes han leído las Hojas de Seguridad de sustancias manejadas	Registro de lectura de HDS; HDS disponibles en taller y bodega	Semestral		—	§7.2 Protección del suelo y prevención de derrames	No especificado en el PMA	Operación	Jefe de taller
PMA-075	Medidas ambientales §7.3 — Protección del medio hídrico	Prohibición de lavado de maquinaria en cauce o ribera del Río Ventisquero	Prohibición absoluta de lavado de camiones mixers, tolva, camionetas o maquinaria pesada en cauce o ribera del Río Ventisquero	Inspección de área fluvial; registro de cumplimiento; ausencia de equipos de lavado en ribera	Diario		—	§7.3 Protección del medio hídrico (Agua)	No especificado en el PMA	Operación	Encargado ambiental
PMA-076	Medidas ambientales §7.3 — Protección del medio hídrico	Prohibición de lavado de maquinaria en cualquier curso de agua natural	Prohibición absoluta de lavado de maquinaria en cualquier curso de agua natural	Inspección de faena y accesos; registro de cumplimiento	Diario		—	§7.3 Protección del medio hídrico (Agua)	No especificado en el PMA	Operación	Encargado ambiental
PMA-077	Medidas ambientales §7.3 — Protección del medio hídrico	Uso riguroso de baños químicos para evitar infiltración de lodos sanitarios	Baños químicos operativos que impidan infiltración de lodos sanitarios al suelo o cauce del río	Inspección visual; certificados Patagonia Service	Semanal		—	§7.3 Protección del medio hídrico (Agua)	Res. N° 548	Operación	Encargado de faena
PMA-078	Medidas ambientales §7.3 — Protección del medio hídrico	Fosa séptica hermética para evitar contacto de aguas grises con el cauce del río	Fosa séptica hermética operativa que impida contacto de aguas grises con el cauce del Río Ventisquero	Inspección visual; Res. N° 165; certificados de mantención	Mensual		—	§7.3 Protección del medio hídrico (Agua)	Res. N° 165	Operación	Encargado de faena
PMA-079	Medidas ambientales §7.4 — Protección de flora y fauna	Prohibición de caza, pesca o captura de fauna silvestre	Prohibición expresa de caza, pesca o captura de especies de fauna silvestre en el área del proyecto	Registro de inducción ambiental; inspección de cumplimiento	Mensual		—	§7.4 Protección de flora y fauna	No especificado en el PMA	Operación	Encargado ambiental
PMA-080	Medidas ambientales §7.4 — Protección de flora y fauna	Prohibición de alimentar animales nativos o domésticos	Prohibición de alimentar animales nativos o domésticos por parte del personal	Registro de inducción ambiental; inspección de faena	Mensual		—	§7.4 Protección de flora y fauna	No especificado en el PMA	Operación	Encargado ambiental
PMA-081	Medidas ambientales §7.4 — Protección de flora y fauna	Charlas mensuales de inducción ambiental	Charlas mensuales dictadas por el Ingeniero Forestal Claudio Quijada sobre valor biológico de la ZOIT y fauna sensible de la faja fiscal	Registros de asistencia; material de charla; actas mensuales	Mensual		—	§7.4 Protección de flora y fauna	No especificado en el PMA	Operación	Encargado ambiental
PMA-082	Medidas ambientales §7.5 — Buenas prácticas y relaciones comunitarias	Control de velocidad máxima de camiones (< 50 km/h)	Velocidad máxima de camiones inferior a 50 km/h en accesos de faja fiscal y cercanías de caseríos	Inspección de señalética; registro de fiscalización de velocidad	Mensual		Requiere revisión: mecanismo de verificación de velocidad no especificado en el PMA	§7.5 Plan de buenas prácticas y relaciones comunitarias	No especificado en el PMA	Operación	Jefe de flota
PMA-083	Medidas ambientales §7.5 — Buenas prácticas y relaciones comunitarias	Priorización de contratación de mano de obra local no calificada	Contratación prioritaria de mano de obra local no calificada para habilitación y mantención de faenas	Registros de contratación; listado de trabajadores locales	Trimestral		Requiere revisión: criterio de “local” y porcentaje mínimo no definidos	§7.5 Plan de buenas prácticas y relaciones comunitarias	No especificado en el PMA	Operación	Administrador de obra
