ID	Área o tema	Ítem a auditar	Criterio de cumplimiento	Evidencia o respaldo esperado	Frecuencia de revisión	Estado de cumplimiento	Observaciones	Fuente / sección del documento	Referencia normativa	Tipo de obligación	Responsable sugerido
CHK-011	Agua potable (medida transitoria)	Registro de compra de agua purificada	Registro actualizado del mes disponible	Anexo N°1 — Registro de compra de agua purificada	Mensual		Anexo citado en Minuta; verificar archivo físico/digital	Minuta N°1 — Anexo N°1	No especificado en el documento	Evidencia documental exigida en Minuta	Encargado ambiental
CHK-012	Agua potable (medida transitoria)	Solicitud y/o muestra de análisis de agua	Gestión de análisis conforme a lo declarado en Minuta	Anexo N°1 — Solicitud muestra de análisis de agua; resultados si existen	Mensual	Requiere revisión	Frecuencia analítica no especificada en el documento	Minuta N°1 — Anexo N°1	No especificado en el documento	Evidencia documental exigida en Minuta	Encargado ambiental
CHK-013	Baños químicos	Dotación suficiente de baños químicos para personal de obra	Cantidad suficiente para condiciones básicas de la legislación vigente	Inspección visual; registro de servicio/limpieza	Mensual		Criterio "suficientes" no cuantificado más allá de 4 unidades totales	Minuta N°1 — Obs. N°1.b)	D.S. N°594/2000 arts. 3, 24, 25 y 26	Medida transitoria declarada en Minuta	Encargado ambiental
CHK-014	Baños químicos	Distribución — 2 baños químicos para contratista (APIA)	2 unidades operativas, higiénicas y accesibles para personal contratista	Inspección visual; registro limpieza/disposición	Mensual		Verificar estado operacional y señalización	Minuta N°1 — Obs. N°1.b)	D.S. N°594/2000 arts. 3, 24, 25 y 26	Medida declarada en Minuta	Encargado ambiental
CHK-015	Baños químicos	Distribución — 2 baños químicos para Asesoría a la Inspección Fiscal	2 unidades operativas, higiénicas y accesibles para AIF	Inspección visual; registro limpieza/disposición	Mensual		Verificar acceso diferenciado contratista/AIF	Minuta N°1 — Obs. N°1.b)	D.S. N°594/2000 arts. 3, 24, 25 y 26	Medida declarada en Minuta	Encargado ambiental
CHK-016	Residuos líquidos (baños químicos)	Certificado de disposición final de residuos líquidos	Certificado vigente del periodo auditado correspondiente a servicio de baños químicos	Anexo N°1 — Certificado de Disposición final de residuos líquidos	Mensual		Confirmar empresa prestadora autorizada (No especificado en el documento)	Minuta N°1 — Anexo N°1	No especificado en el documento	Evidencia documental exigida en Minuta	Encargado ambiental
CHK-017	Bodega RESPEL	Actualización de permiso/autorización bodega RESPEL	Permiso RESPEL actualizado conforme a observación N°2	Copia permiso/autorización RESPEL actualizado; planos	Mensual	Requiere revisión	Documento indica "actualizar permiso"; número/resolución no especificados	Minuta N°1 — Obs. N°2	No especificado en el documento	Observación pendiente al PMA	Encargado ambiental
CHK-018	Bodega RESPEL	Planos de habilitación bodega RESPEL	Planos disponibles y coherentes con instalación en terreno	Planos adjuntos en Minuta Obs. N°2	Mensual		Verificar actualización si hubo modificaciones	Minuta N°1 — Obs. N°2	No especificado en el documento	Evidencia declarada en Minuta	Encargado ambiental
CHK-019	Bodega RESPEL	Registro visual de habilitación bodega RESPEL	Registro fotográfico/visual disponible y fechado	Registro visual citado en Minuta Obs. N°2	Mensual		Confirmar archivo en expediente ambiental	Minuta N°1 — Obs. N°2	No especificado en el documento	Evidencia declarada en Minuta	Encargado ambiental
CHK-020	Mantención vehicular	Mantención de camionetas — Rent Card / Salfa Rent	Mantenciones realizadas por empresa indicada; respaldo disponible	Órdenes de trabajo, facturas o registros de mantención	Mensual	Requiere revisión	Detalle de frecuencia y controles ambientales en taller no especificado	Minuta N°1 — Obs. N°2	No especificado en el documento	Medida operacional declarada en Minuta	Jefe de faena
CHK-021	Mantención vehicular	Mantención de camionetas — MITTA (taller certificado La Junta)	Mantenciones en taller certificado según documento	Registros de mantención; certificación de taller (No especificado en el documento)	Mensual	Requiere revisión	Taller certificado citado; tipo certificación no detallada	Minuta N°1 — Obs. N°2	No especificado en el documento	Medida operacional declarada en Minuta	Jefe de faena
CHK-022	Mantención maquinaria	Mantención equipos subcontratista Áridos Río Cruces	Mantenciones realizadas en talleres mecánicos comuna de Cisnes	Registros de mantención; identificación de talleres en Cisnes	Mensual	Requiere revisión	Controles de derrames/residuos en taller no especificados en documento	Minuta N°1 — Obs. N°2	No especificado en el documento	Medida operacional declarada en Minuta	Jefe de faena
CHK-023	Alimentación del personal	Comedor de faena habilitado para almuerzo del personal	Recinto operativo para almuerzo del personal de obra	Inspección visual del comedor	Mensual		Ubicación exacta en instalación: No especificado en el documento	Minuta N°1 — Obs. N°3	D.S. N°594/2000 arts. 5, 6, 11, 12 y 14	Medida declarada en Minuta	Administrador de obra
CHK-024	Alimentación del personal	Comedor — mobiliario (mesas y sillas)	Mesas y sillas disponibles en cantidad suficiente	Inspección visual	Mensual		Cantidad mínima no especificada en el documento	Minuta N°1 — Obs. N°3	D.S. N°594/2000 arts. 5, 6, 11, 12 y 14	Medida declarada en Minuta	Administrador de obra
CHK-025	Alimentación del personal	Comedor — agua envasada	Agua envasada disponible para personal en comedor	Inspección visual; registro de compra si aplica	Mensual		Coherente con provisión general de agua envasada	Minuta N°1 — Obs. N°3	D.S. N°594/2000 arts. 5, 6, 11, 12 y 14	Medida declarada en Minuta	Administrador de obra
CHK-026	Alimentación del personal	Comedor — calefacción	Calefacción operativa en periodo que corresponda	Inspección visual/funcional	Mensual		Tipo de sistema y parámetros no especificados	Minuta N°1 — Obs. N°3	D.S. N°594/2000 arts. 5, 6, 11, 12 y 14	Medida declarada en Minuta	Administrador de obra
CHK-027	Alimentación del personal	Comedor — microondas	Microondas operativo y en condiciones seguras de uso	Inspección visual/funcional	Mensual		Cantidad no especificada en el documento	Minuta N°1 — Obs. N°3	D.S. N°594/2000 arts. 5, 6, 11, 12 y 14	Medida declarada en Minuta	Administrador de obra
CHK-028	Residuos domiciliarios	Comedor — contenedores de residuos domiciliarios	Contenedores disponibles, identificados y en buen estado	Inspección visual; registro de retiro/disposición si existe	Mensual		Frecuencia de retiro: No especificado en el documento	Minuta N°1 — Obs. N°3	D.S. N°594/2000 arts. 5, 6, 11, 12 y 14	Medida declarada en Minuta	Encargado ambiental
CHK-029	Agua potable y alcantarillado (comedor)	Sistema particular de agua potable en comedor	Sistema AP del comedor operativo según proyecto particular	Anexo N°2 — Resolución proyecto particular; inspección visual	Mensual	Requiere revisión	Detalle técnico del sistema no incluido en compilación	Minuta N°1 — Obs. N°3 / Anexo N°2	D.S. N°594/2000 (marco general)	Medida declarada en Minuta	Encargado ambiental
CHK-030	Agua potable y alcantarillado (comedor)	Fosa séptica en comedor	Fosa séptica operativa asociada al comedor	Anexo N°2; inspección visual; certificado limpieza si existe	Mensual	Requiere revisión	Frecuencia de limpieza no especificada en el documento	Minuta N°1 — Obs. N°3 / Anexo N°2	D.S. N°594/2000 (marco general)	Medida declarada en Minuta	Encargado ambiental
CHK-031	Agua potable y alcantarillado (comedor)	Resolución sanitaria — proyecto particular comedor	Resolución del proyecto particular disponible y vigente	Anexo N°2 — Resolución del proyecto particular	Mensual	Requiere revisión	Número/fecha resolución no transcritos en compilación	Minuta N°1 — Anexo N°2	No especificado en el documento	Evidencia documental exigida en Minuta	Encargado ambiental
CHK-032	Comunicaciones contractuales	Entrega PMA Rev. 1 al Inspector Fiscal (Folio 36)	Comunicación registrada en LOD con adjunto PMA Rev. 1	LOD Serie 28560 Folio 36 (12/08/2026); adjunto PDF PMA	Mensual		Destinatario: Rodrigo Banda (IF)	LOD Folio 36	No especificado en el documento	Compromiso documental derivado de LOD	Residente de obra
CHK-033	Comunicaciones contractuales	Aprobación PMA Rev. 1 por Inspector Fiscal (Folio 47)	Aprobación formal registrada en LOD	LOD Serie 28559 Folio 47 (24/08/2026); firma Rodrigo Cesar Banda Duran	Mensual		Mantener evidencia de aprobación vigente durante obra	LOD Folio 47	No especificado en el documento	Compromiso documental derivado de LOD	Residente de obra
CHK-034	Comunicaciones contractuales	Referencia cruzada Folio 39 (Minuta observaciones) en aprobación PMA	Folio 39 archivado y coherente con Minuta N°1 entregada	LOD Folio 47 — Folios de referencia; Minuta N°1	Mensual	Requiere revisión	Contenido Folio 39 no transcrito en compilación; solo referenciado	LOD Folio 47 / Minuta N°1	No especificado en el documento	Compromiso documental derivado de LOD	Administrador de obra
CHK-035	Identificación contractual	Coherencia de datos del contrato en documentación	Contrato, SAFI, contratista y tramo coinciden en LOD y Minuta	Datos: SAFI 411074; APIA SPA; km 415,889–433,193; Cisnes, Aysén	Mensual		Verificar consistencia en nuevos documentos del periodo	Todos los documentos	No especificado en el documento	Control de trazabilidad	Administrador de obra
CHK-036	Responsabilidades	Elaboración y revisión Minuta N°1	Minuta elaborada por Asesor Ambiental y revisada por Residente de Obra	Firmas/fechas: Claudio Quijada C.; Jorge Bernal Z.; Agosto 2026	Al ingreso / cuando se actualice		Control de calidad documental interno	Minuta N°1 — Encabezado	No especificado en el documento	Control documental interno	Residente de obra
CHK-037	PMA Rev. 1 (cuerpo no transcrito)	Medidas ambientales del PMA no incluidas en compilación	Requiere revisión del PDF "14.- PMA Instalación de faenas Rev. 1.pdf" para extraer ítems adicionales	PMA Rev. 1 completo (No disponible en compilación adjunta)	Mensual	Requiere revisión	Compilación no transcribe medidas de aire, ruido, suelo, aguas, tránsito, etc. del PMA	PMA Rev. 1 — cuerpo principal	No especificado en el documento	No especificado en el documento	Encargado ambiental
